target_date_et,min_forecast_f,max_forecast_f,mean_forecast_f,median_forecast_f,forecast_std_f,first_forecast_f,latest_forecast_f,release_count,forecast_range_f,first_to_latest_change_f,observed_max_f,obs_time_et,obs_hour_et,observed_wdir_deg,observed_max_time_et,observed_wdir_arrow,observed_wdir_cardinal,median_error_f,mean_error_f,latest_error_f,forecast_stability,outcome_class,x
2021-06-05,86.99000000000002,86.99000000000002,86.99000000000002,86.99000000000002,0.0,86.99000000000002,86.99000000000002,37,0.0,0.0,87.08000000000001,2021-06-05 12:53:00-04:00,12.883333333333333,110.0,06-05 12:53PM,←,E,-0.0899999999999892,-0.0899999999999892,-0.0899999999999892,STABLE,WARM MISS,65
2021-06-06,86.99000000000002,88.07000000000006,87.36945945945949,86.99000000000002,0.5226957153170828,86.99000000000002,88.07000000000006,37,1.080000000000041,1.080000000000041,87.8,2021-06-06 12:50:00-04:00,12.833333333333334,110.0,06-06 12:50PM,←,E,-0.8099999999999739,-0.4305405405405054,0.2700000000000671,MIXED,VERIFIED,66
2021-06-07,85.91000000000008,86.99000000000002,86.87324324324328,86.99000000000002,0.33998410137706636,85.91000000000008,86.99000000000002,37,1.0799999999999415,1.0799999999999415,87.98,2021-06-07 14:53:00-04:00,14.883333333333333,120.0,06-07 02:53PM,↖,SE,-0.9899999999999807,-1.1067567567567238,-0.9899999999999807,MIXED,WARM MISS,67
2021-06-08,85.91000000000008,86.99000000000002,86.62513513513518,86.99000000000002,0.5099761520656128,86.99000000000002,86.99000000000002,37,1.0799999999999415,0.0,87.98,2021-06-08 12:53:00-04:00,12.883333333333333,90.0,06-08 12:53PM,←,E,-0.9899999999999807,-1.3548648648648225,-0.9899999999999807,STABLE,WARM MISS,68
2021-06-09,86.99000000000002,88.07000000000006,87.48621621621626,86.99000000000002,0.5456461579904718,88.07000000000006,86.99000000000002,37,1.080000000000041,-1.080000000000041,87.98,2021-06-09 12:53:00-04:00,12.883333333333333,110.0,06-09 12:53PM,←,E,-0.9899999999999807,-0.49378378378374066,-0.9899999999999807,MIXED,VERIFIED,69
2021-06-10,86.99000000000002,88.97000000000006,88.24513513513519,88.07000000000006,0.6066924061463764,88.07000000000006,88.07000000000006,37,1.9800000000000324,0.0,87.98,2021-06-10 12:53:00-04:00,12.883333333333333,130.0,06-10 12:53PM,↖,SE,0.09000000000006025,0.26513513513518205,0.09000000000006025,MIXED,VERIFIED,70
2021-06-11,88.07000000000006,92.03000000000004,89.29594594594599,88.97000000000006,1.4436440378805482,88.97000000000006,90.95,37,3.9599999999999795,1.9799999999999471,89.06,2021-06-11 13:53:00-04:00,13.883333333333333,160.0,06-11 01:53PM,↑,S,-0.08999999999994657,0.2359459459459856,1.8900000000000006,UNSTABLE,VERIFIED,71
2021-06-12,88.07000000000006,94.91000000000008,91.21270270270274,90.95,2.517711315911787,94.91000000000008,90.95,37,6.840000000000018,-3.960000000000079,87.98,2021-06-12 12:53:00-04:00,12.883333333333333,170.0,06-12 12:53PM,↑,S,2.969999999999999,3.2327027027027384,2.969999999999999,UNSTABLE,COOL MISS,72
2021-06-13,90.05,94.01000000000008,91.11054054054055,90.95,1.0162730001386655,94.01000000000008,90.95,37,3.960000000000079,-3.0600000000000733,93.02,2021-06-13 14:53:00-04:00,14.883333333333333,230.0,06-13 02:53PM,↗,SW,-2.069999999999993,-1.9094594594594412,-2.069999999999993,UNSTABLE,VERIFIED,73
2021-06-14,85.91000000000008,88.07000000000006,87.10675675675681,86.99000000000002,0.8738359051842448,88.07000000000006,85.91000000000008,37,2.1599999999999824,-2.1599999999999824,86.0,2021-06-14 10:53:00-04:00,10.883333333333333,200.0,06-14 10:53AM,↑,S,0.9900000000000233,1.106756756756809,-0.08999999999991815,UNSTABLE,VERIFIED,74
2021-06-15,88.97000000000006,90.05,89.37864864864868,88.97000000000006,0.5155264955048758,90.05,88.97000000000006,37,1.0799999999999415,-1.0799999999999415,89.06,2021-06-15 11:53:00-04:00,11.883333333333333,220.0,06-15 11:53AM,↗,SW,-0.08999999999994657,0.3186486486486757,-0.08999999999994657,MIXED,VERIFIED,75
2021-06-16,85.91000000000008,88.07000000000006,86.87324324324331,86.99000000000002,0.835936115495185,86.99000000000002,86.99000000000002,37,2.1599999999999824,0.0,87.8,2021-06-16 12:48:00-04:00,12.8,150.0,06-16 12:48PM,↖,SE,-0.8099999999999739,-0.9267567567566886,-0.8099999999999739,MIXED,VERIFIED,76
2021-06-17,85.91000000000008,86.99000000000002,86.17270270270278,85.91000000000008,0.4697555430968894,86.99000000000002,85.91000000000008,37,1.0799999999999415,-1.0799999999999415,87.98,2021-06-17 14:53:00-04:00,14.883333333333333,70.0,06-17 02:53PM,←,E,-2.069999999999922,-1.8072972972972252,-2.069999999999922,MIXED,WARM MISS,77
2021-06-18,86.99000000000002,88.97000000000006,88.02378378378384,88.07000000000006,0.6043423944501566,88.07000000000006,86.99000000000002,37,1.9800000000000324,-1.080000000000041,89.06,2021-06-18 14:53:00-04:00,14.883333333333333,100.0,06-18 02:53PM,←,E,-0.989999999999938,-1.036216216216161,-2.069999999999979,MIXED,WARM MISS,78
2021-06-19,88.97000000000006,90.95,89.34459459459464,88.97000000000006,0.7861813283721829,88.97000000000006,90.95,37,1.9799999999999471,1.9799999999999471,89.06,2021-06-19 14:53:00-04:00,14.883333333333333,120.0,06-19 02:53PM,↖,SE,-0.08999999999994657,0.2845945945946369,1.8900000000000006,MIXED,VERIFIED,79
2021-06-20,88.97000000000006,90.95,89.87486486486489,90.05,0.6781413390110078,88.97000000000006,90.05,37,1.9799999999999471,1.0799999999999415,91.94,2021-06-20 15:53:00-04:00,15.883333333333333,130.0,06-20 03:53PM,↖,SE,-1.8900000000000006,-2.065135135135108,-1.8900000000000006,MIXED,WARM MISS,80
2021-06-21,88.97000000000006,90.05,89.49540540540542,88.97000000000006,0.5472486464862645,88.97000000000006,88.97000000000006,37,1.0799999999999415,0.0,91.03999999999999,2021-06-21 14:53:00-04:00,14.883333333333333,140.0,06-21 02:53PM,↖,SE,-2.0699999999999363,-1.544594594594571,-2.0699999999999363,STABLE,WARM MISS,81
2021-06-22,90.05,90.05,90.05,90.05,0.0,90.05,90.05,37,0.0,0.0,91.03999999999999,2021-06-22 13:53:00-04:00,13.883333333333333,150.0,06-22 01:53PM,↖,SE,-0.9899999999999949,-0.9899999999999949,-0.9899999999999949,STABLE,WARM MISS,82
2021-06-23,88.07000000000006,88.97000000000006,88.58081081081086,88.97000000000006,0.4520224821005262,88.97000000000006,88.97000000000006,37,0.8999999999999915,0.0,89.96000000000001,2021-06-23 12:53:00-04:00,12.883333333333333,140.0,06-23 12:53PM,↖,SE,-0.9899999999999523,-1.3791891891891481,-0.9899999999999523,STABLE,WARM MISS,83
2021-06-24,86.99000000000002,86.99000000000002,86.99000000000002,86.99000000000002,0.0,86.99000000000002,86.99000000000002,37,0.0,0.0,84.91999999999999,2021-06-24 16:53:00-04:00,16.883333333333333,90.0,06-24 04:53PM,←,E,2.070000000000036,2.070000000000036,2.070000000000036,STABLE,COOL BUST,84
2021-06-25,86.99000000000002,88.07000000000006,87.42783783783787,86.99000000000002,0.537562064298622,86.99000000000002,86.99000000000002,37,1.080000000000041,0.0,86.0,2021-06-25 10:51:00-04:00,10.85,90.0,06-25 10:51AM,←,E,0.9900000000000233,1.4278378378378704,0.9900000000000233,STABLE,COOL MISS,85
2021-06-26,88.07000000000006,88.07000000000006,88.07000000000006,88.07000000000006,0.0,88.07000000000006,88.07000000000006,37,0.0,0.0,87.98,2021-06-26 14:53:00-04:00,14.883333333333333,100.0,06-26 02:53PM,←,E,0.09000000000006025,0.09000000000006025,0.09000000000006025,STABLE,COOL MISS,86
2021-06-27,88.07000000000006,88.97000000000006,88.38621621621628,88.07000000000006,0.43557976276421606,88.07000000000006,88.97000000000006,37,0.8999999999999915,0.8999999999999915,89.06,2021-06-27 12:53:00-04:00,12.883333333333333,100.0,06-27 12:53PM,←,E,-0.989999999999938,-0.6737837837837191,-0.08999999999994657,STABLE,WARM MISS,87
2021-06-28,86.99000000000002,88.07000000000006,87.92405405405411,88.07000000000006,0.37431017633523905,88.07000000000006,88.07000000000006,37,1.080000000000041,0.0,84.91999999999999,2021-06-28 14:28:00-04:00,14.466666666666667,90.0,06-28 02:28PM,←,E,3.1500000000000767,3.004054054054123,3.1500000000000767,STABLE,COOL BUST,88
2021-06-29,86.99000000000002,88.07000000000006,87.22351351351355,86.99000000000002,0.450729139014523,86.99000000000002,86.99000000000002,37,1.080000000000041,0.0,87.98,2021-06-29 11:59:00-04:00,11.983333333333333,100.0,06-29 11:59AM,←,E,-0.9899999999999807,-0.7564864864864518,-0.9899999999999807,STABLE,VERIFIED,89
2021-06-30,85.91000000000008,86.99000000000002,86.43540540540546,85.91000000000008,0.5472486464862596,86.99000000000002,85.91000000000008,37,1.0799999999999415,-1.0799999999999415,86.0,2021-06-30 10:53:00-04:00,10.883333333333333,110.0,06-30 10:53AM,←,E,-0.08999999999991815,0.43540540540546147,-0.08999999999991815,MIXED,VERIFIED,90
2021-07-01,85.91000000000008,86.99000000000002,86.5521621621622,86.99000000000002,0.5375620642985682,86.99000000000002,85.91000000000008,37,1.0799999999999415,-1.0799999999999415,82.04,2021-07-01 09:53:00-04:00,9.883333333333333,170.0,07-01 09:53AM,↑,S,4.950000000000017,4.512162162162198,3.8700000000000756,MIXED,COOL BUST,91
2021-07-02,88.07000000000006,88.97000000000006,88.65378378378385,88.97000000000006,0.43557976276421767,88.97000000000006,88.07000000000006,37,0.8999999999999915,-0.8999999999999915,89.96000000000001,2021-07-02 13:53:00-04:00,13.883333333333333,230.0,07-02 01:53PM,↗,SW,-0.9899999999999523,-1.306216216216157,-1.8899999999999437,STABLE,WARM MISS,92
2021-07-03,90.95,92.03000000000004,91.5921621621622,92.03000000000004,0.5375620642986219,90.95,92.03000000000004,37,1.080000000000041,1.080000000000041,93.91999999999999,2021-07-03 12:53:00-04:00,12.883333333333333,260.0,07-03 12:53PM,→,W,-1.8899999999999437,-2.327837837837791,-1.8899999999999437,MIXED,WARM MISS,93
2021-07-04,90.05,90.95,90.2081081081081,90.05,0.339016861575398,90.05,90.05,37,0.9000000000000057,0.0,91.94,2021-07-04 14:53:00-04:00,14.883333333333333,110.0,07-04 02:53PM,←,E,-1.8900000000000006,-1.731891891891891,-1.8900000000000006,STABLE,WARM MISS,94
2021-07-05,86.99000000000002,88.97000000000006,87.53000000000003,86.99000000000002,0.8632496741963045,86.99000000000002,88.97000000000006,37,1.9800000000000324,1.9800000000000324,91.03999999999999,2021-07-05 12:53:00-04:00,12.883333333333333,110.0,07-05 12:53PM,←,E,-4.049999999999969,-3.5099999999999625,-2.0699999999999363,MIXED,WARM BUST,95
2021-07-06,85.91000000000008,85.91000000000008,85.91000000000008,85.91000000000008,0.0,85.91000000000008,85.91000000000008,37,0.0,0.0,84.91999999999999,2021-07-06 11:53:00-04:00,11.883333333333333,110.0,07-06 11:53AM,←,E,0.9900000000000944,0.9900000000000944,0.9900000000000944,STABLE,COOL MISS,96
2021-07-07,88.07000000000006,88.97000000000006,88.38621621621628,88.07000000000006,0.43557976276420995,88.97000000000006,88.07000000000006,37,0.8999999999999915,-0.8999999999999915,89.96000000000001,2021-07-07 14:53:00-04:00,14.883333333333333,140.0,07-07 02:53PM,↖,SE,-1.8899999999999437,-1.5737837837837247,-1.8899999999999437,STABLE,WARM MISS,97
2021-07-08,88.07000000000006,90.05,89.1013513513514,88.97000000000006,0.5258969172447602,88.97000000000006,90.05,37,1.979999999999933,1.0799999999999415,89.96000000000001,2021-07-08 12:53:00-04:00,12.883333333333333,130.0,07-08 12:53PM,↖,SE,-0.9899999999999523,-0.8586486486486109,0.0899999999999892,MIXED,VERIFIED,98
2021-07-09,88.97000000000006,90.05,89.75810810810813,90.05,0.4862431824019818,88.97000000000006,90.05,37,1.0799999999999415,1.0799999999999415,89.96000000000001,2021-07-09 13:53:00-04:00,13.883333333333333,110.0,07-09 01:53PM,←,E,0.0899999999999892,-0.20189189189187573,0.0899999999999892,MIXED,VERIFIED,99
2021-07-10,86.99000000000002,90.05,88.24513513513519,88.07000000000006,0.8853675370577188,88.07000000000006,88.07000000000006,37,3.059999999999974,0.0,87.98,2021-07-10 15:53:00-04:00,15.883333333333333,100.0,07-10 03:53PM,←,E,0.09000000000006025,0.26513513513518205,0.09000000000006025,UNSTABLE,VERIFIED,100
2021-07-11,88.07000000000006,90.05,89.17918918918922,88.97000000000006,0.9114407958415399,88.07000000000006,88.07000000000006,37,1.979999999999933,0.0,87.98,2021-07-11 15:53:00-04:00,15.883333333333333,120.0,07-11 03:53PM,↖,SE,0.9900000000000517,1.1991891891892124,0.09000000000006025,MIXED,COOL MISS,101
2021-07-12,88.07000000000006,88.97000000000006,88.6051351351352,88.97000000000006,0.44796838691549556,88.07000000000006,88.07000000000006,37,0.8999999999999915,0.0,84.91999999999999,2021-07-12 11:44:00-04:00,11.733333333333333,50.0,07-12 11:44AM,↙,NE,4.050000000000068,3.685135135135212,3.1500000000000767,STABLE,COOL BUST,102
2021-07-13,85.91000000000008,86.99000000000002,86.3186486486487,85.91000000000008,0.5310061841142142,85.91000000000008,86.99000000000002,37,1.0799999999999415,1.0799999999999415,84.91999999999999,2021-07-13 08:53:00-04:00,8.883333333333333,70.0,07-13 08:53AM,←,E,0.9900000000000944,1.3986486486487166,2.070000000000036,MIXED,COOL MISS,103
2021-07-14,88.07000000000006,88.07000000000006,88.07000000000006,88.07000000000006,0.0,88.07000000000006,88.07000000000006,37,0.0,0.0,87.98,2021-07-14 13:53:00-04:00,13.883333333333333,80.0,07-14 01:53PM,←,E,0.09000000000006025,0.09000000000006025,0.09000000000006025,STABLE,COOL MISS,104
2021-07-15,86.99000000000002,88.97000000000006,88.15756756756763,88.07000000000006,0.6992273728329916,88.07000000000006,86.99000000000002,37,1.9800000000000324,-1.080000000000041,89.06,2021-07-15 13:53:00-04:00,13.883333333333333,80.0,07-15 01:53PM,←,E,-0.989999999999938,-0.9024324324323771,-2.069999999999979,MIXED,WARM MISS,105
2021-07-16,86.99000000000002,88.07000000000006,87.19432432432436,86.99000000000002,0.42882617911212845,86.99000000000002,88.07000000000006,37,1.080000000000041,1.080000000000041,89.06,2021-07-16 14:53:00-04:00,14.883333333333333,100.0,07-16 02:53PM,←,E,-2.069999999999979,-1.8656756756756465,-0.989999999999938,MIXED,WARM MISS,106
2021-07-17,86.99000000000002,88.97000000000006,88.26945945945951,88.07000000000006,0.6174227164680757,88.07000000000006,88.97000000000006,37,1.9800000000000324,0.8999999999999915,87.98,2021-07-17 16:53:00-04:00,16.883333333333333,90.0,07-17 04:53PM,←,E,0.09000000000006025,0.2894594594595077,0.9900000000000517,MIXED,VERIFIED,107
2021-07-18,88.97000000000006,88.97000000000006,88.97000000000006,88.97000000000006,0.0,88.97000000000006,88.97000000000006,37,0.0,0.0,89.06,2021-07-18 12:53:00-04:00,12.883333333333333,100.0,07-18 12:53PM,←,E,-0.08999999999994657,-0.08999999999994657,-0.08999999999994657,STABLE,WARM MISS,108
2021-07-19,88.97000000000006,89.51000000000002,88.98459459459465,88.97000000000006,0.08877545314488697,88.97000000000006,88.97000000000006,37,0.5399999999999636,0.0,89.06,2021-07-19 12:53:00-04:00,12.883333333333333,110.0,07-19 12:53PM,←,E,-0.08999999999994657,-0.07540540540534835,-0.08999999999994657,STABLE,VERIFIED,109
2021-07-20,90.05,90.95,90.5608108108108,90.95,0.4520224821005374,90.05,90.05,37,0.9000000000000057,0.0,89.06,2021-07-20 12:40:00-04:00,12.666666666666666,140.0,07-20 12:40PM,↖,SE,1.8900000000000006,1.5008108108108047,0.9899999999999949,STABLE,COOL MISS,110
2021-07-21,90.95,90.95,90.95,90.95,0.0,90.95,90.95,37,0.0,0.0,91.03999999999999,2021-07-21 13:53:00-04:00,13.883333333333333,120.0,07-21 01:53PM,↖,SE,-0.0899999999999892,-0.0899999999999892,-0.0899999999999892,STABLE,WARM MISS,111
2021-07-22,90.95,92.03000000000004,91.03756756756758,90.95,0.29886270914740454,90.95,90.95,37,1.080000000000041,0.0,91.94,2021-07-22 11:53:00-04:00,11.883333333333333,110.0,07-22 11:53AM,←,E,-0.9899999999999949,-0.9024324324324198,-0.9899999999999949,STABLE,VERIFIED,112
2021-07-23,90.05,90.95,90.68243243243244,90.95,0.4170358724605393,90.95,90.95,37,0.9000000000000057,0.0,91.03999999999999,2021-07-23 13:18:00-04:00,13.3,130.0,07-23 01:18PM,↖,SE,-0.0899999999999892,-0.3575675675675569,-0.0899999999999892,STABLE,WARM MISS,113
2021-07-24,88.97000000000006,90.05,89.99162162162162,90.05,0.24758290994592172,90.05,88.97000000000006,37,1.0799999999999415,-1.0799999999999415,89.96000000000001,2021-07-24 11:53:00-04:00,11.883333333333333,250.0,07-24 11:53AM,→,W,0.0899999999999892,0.03162162162161053,-0.9899999999999523,MIXED,VERIFIED,114
2021-07-25,88.97000000000006,90.05,89.17432432432437,88.97000000000006,0.42882617911208676,88.97000000000006,90.05,37,1.0799999999999415,1.0799999999999415,89.96000000000001,2021-07-25 11:53:00-04:00,11.883333333333333,240.0,07-25 11:53AM,↗,SW,-0.9899999999999523,-0.785675675675634,0.0899999999999892,MIXED,VERIFIED,115
2021-07-26,88.97000000000006,90.05,89.8456756756757,90.05,0.4288261791120885,88.97000000000006,90.05,37,1.0799999999999415,1.0799999999999415,89.96000000000001,2021-07-26 15:53:00-04:00,15.883333333333333,110.0,07-26 03:53PM,←,E,0.0899999999999892,-0.11432432432431483,0.0899999999999892,MIXED,VERIFIED,116
2021-07-27,90.95,92.03000000000004,91.38783783783786,90.95,0.5375620642986146,90.95,92.03000000000004,37,1.080000000000041,1.080000000000041,91.03999999999999,2021-07-27 12:53:00-04:00,12.883333333333333,130.0,07-27 12:53PM,↖,SE,-0.0899999999999892,0.34783783783787214,0.9900000000000517,MIXED,VERIFIED,117
2021-07-28,92.03000000000004,92.93000000000004,92.54081081081085,92.93000000000004,0.45202248210053214,92.03000000000004,92.93000000000004,37,0.8999999999999915,0.8999999999999915,91.03999999999999,2021-07-28 15:36:00-04:00,15.6,180.0,07-28 03:36PM,↑,S,1.8900000000000432,1.5008108108108615,1.8900000000000432,STABLE,COOL MISS,118
2021-07-29,90.95,92.03000000000004,91.38783783783786,90.95,0.5375620642986146,90.95,92.03000000000004,37,1.080000000000041,1.080000000000041,89.96000000000001,2021-07-29 12:46:00-04:00,12.766666666666667,130.0,07-29 12:46PM,↖,SE,0.9899999999999949,1.4278378378378562,2.070000000000036,MIXED,COOL MISS,119
2021-07-30,90.95,92.03000000000004,91.562972972973,92.03000000000004,0.5424269785206567,90.95,92.03000000000004,37,1.080000000000041,1.080000000000041,91.94,2021-07-30 13:53:00-04:00,13.883333333333333,150.0,07-30 01:53PM,↖,SE,0.09000000000004604,-0.37702702702699753,0.09000000000004604,MIXED,VERIFIED,120
2021-07-31,92.03000000000004,92.93000000000004,92.20027027027031,92.03000000000004,0.35735514926008605,92.03000000000004,92.93000000000004,37,0.8999999999999915,0.8999999999999915,91.94,2021-07-31 15:53:00-04:00,15.883333333333333,120.0,07-31 03:53PM,↖,SE,0.09000000000004604,0.26027027027031124,0.9900000000000375,STABLE,COOL MISS,121
2021-08-01,92.03000000000004,92.93000000000004,92.32189189189194,92.03000000000004,0.4271210980886261,92.03000000000004,92.93000000000004,37,0.8999999999999915,0.8999999999999915,91.94,2021-08-01 13:28:00-04:00,13.466666666666667,140.0,08-01 01:28PM,↖,SE,0.09000000000004604,0.3818918918919394,0.9900000000000375,STABLE,COOL MISS,122
2021-08-02,90.95,92.03000000000004,91.70891891891895,92.03000000000004,0.5004430469526616,90.95,92.03000000000004,37,1.080000000000041,1.080000000000041,91.03999999999999,2021-08-02 12:58:00-04:00,12.966666666666667,120.0,08-02 12:58PM,↖,SE,0.9900000000000517,0.6689189189189619,0.9900000000000517,MIXED,VERIFIED,123
2021-08-03,88.07000000000006,90.05,89.74351351351352,90.05,0.6262242064602136,90.05,90.05,37,1.979999999999933,0.0,87.98,2021-08-03 10:53:00-04:00,10.883333333333333,200.0,08-03 10:53AM,↑,S,2.069999999999993,1.7635135135135158,2.069999999999993,MIXED,COOL MISS,124
2021-08-04,90.05,90.95,90.4391891891892,90.05,0.4520224821005284,90.95,90.05,37,0.9000000000000057,-0.9000000000000057,91.03999999999999,2021-08-04 12:53:00-04:00,12.883333333333333,170.0,08-04 12:53PM,↑,S,-0.9899999999999949,-0.600810810810799,-0.9899999999999949,STABLE,WARM MISS,125
2021-08-05,88.97000000000006,90.95,90.41972972972974,90.95,0.6626482496035789,90.95,90.95,37,1.9799999999999471,0.0,91.94,2021-08-05 14:53:00-04:00,14.883333333333333,150.0,08-05 02:53PM,↖,SE,-0.9899999999999949,-1.5202702702702595,-0.9899999999999949,MIXED,WARM MISS,126
2021-08-06,90.05,90.95,90.29324324324324,90.05,0.4052026520016754,90.05,90.95,37,0.9000000000000057,0.9000000000000057,91.03999999999999,2021-08-06 12:53:00-04:00,12.883333333333333,110.0,08-06 12:53PM,←,E,-0.9899999999999949,-0.7467567567567528,-0.0899999999999892,STABLE,WARM MISS,127
2021-08-07,90.05,90.95,90.34189189189189,90.05,0.42712109808862075,90.05,90.05,37,0.9000000000000057,0.0,89.96000000000001,2021-08-07 12:38:00-04:00,12.633333333333333,110.0,08-07 12:38PM,←,E,0.0899999999999892,0.38189189189188255,0.0899999999999892,STABLE,COOL MISS,128
2021-08-08,90.05,90.95,90.57297297297296,90.95,0.4438772657244574,90.95,90.05,37,0.9000000000000057,-0.9000000000000057,89.96000000000001,2021-08-08 13:53:00-04:00,13.883333333333333,90.0,08-08 01:53PM,←,E,0.9899999999999949,0.6129729729729547,0.0899999999999892,STABLE,COOL MISS,129
2021-08-09,90.05,90.95,90.5608108108108,90.95,0.4520224821005247,90.95,90.05,37,0.9000000000000057,-0.9000000000000057,91.03999999999999,2021-08-09 11:53:00-04:00,11.883333333333333,120.0,08-09 11:53AM,↖,SE,-0.0899999999999892,-0.47918918918918507,-0.9899999999999949,STABLE,WARM MISS,130
2021-08-10,90.05,90.95,90.63378378378378,90.95,0.43557976276421434,90.05,90.05,37,0.9000000000000057,0.0,91.94,2021-08-10 15:53:00-04:00,15.883333333333333,110.0,08-10 03:53PM,←,E,-0.9899999999999949,-1.3062162162162139,-1.8900000000000006,STABLE,WARM MISS,131
2021-08-11,90.05,90.95,90.36621621621622,90.05,0.43557976276421406,90.05,90.95,37,0.9000000000000057,0.9000000000000057,91.03999999999999,2021-08-11 13:53:00-04:00,13.883333333333333,80.0,08-11 01:53PM,←,E,-0.9899999999999949,-0.6737837837837759,-0.0899999999999892,STABLE,WARM MISS,132
2021-08-12,90.95,90.95,90.95,90.95,0.0,90.95,90.95,37,0.0,0.0,91.03999999999999,2021-08-12 12:53:00-04:00,12.883333333333333,80.0,08-12 12:53PM,←,E,-0.0899999999999892,-0.0899999999999892,-0.0899999999999892,STABLE,WARM MISS,133
